season,player_id,player_name,pos,age,team,games,games_started,minutes_per_game,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,fg_pct,fg3_pct,fg2_pct,ft_pct,efg_pct,per,ts_pct,usg_pct,bpm,obpm,dbpm,vorp,ws,ws_per_48,years_in_league
2005-06,mcgratr01,Tracy McGrady,SF,26,HOU,47,47,37.128,24.404,6.532,4.787,1.255,0.872,2.553,0.4055,0.312,0.4337,0.7471,0.4416,21.9,0.4941,35.0,5.4,4.8,0.7,3.3,4.1,0.113,
2005-06,crawfja01,Jamal Crawford,SG,25,NYK,79,27,32.342,14.278,3.139,3.81,1.101,0.19,2.215,0.4164,0.3447,0.4522,0.8263,0.4738,15.5,0.5444,21.5,0.5,1.6,-1.1,1.6,4.5,0.085,6
2005-06,millean02,Andre Miller,PG,29,DEN,82,82,35.817,13.732,4.28,8.22,1.293,0.22,3.122,0.4633,0.1852,0.4722,0.7382,0.4662,16.4,0.5319,20.0,0.2,0.6,-0.4,1.7,6.2,0.101,7
2005-06,denglu01,Luol Deng,SF,20,CHI,78,56,33.385,14.256,6.615,1.885,0.923,0.641,1.346,0.4633,0.2692,0.4806,0.75,0.4743,15.8,0.517,20.4,1.6,0.8,0.9,2.4,6.5,0.12,2
2005-06,fishede01,Derek Fisher,PG,31,GSW,82,36,31.573,13.28,2.573,4.293,1.524,0.098,1.902,0.4104,0.3966,0.4172,0.8328,0.4763,14.8,0.536,20.2,0.4,-0.2,0.6,1.6,5.8,0.108,
2005-06,diawbo01,Boris Diaw,PF,23,PHO,81,70,35.481,13.333,6.889,6.21,0.716,1.049,2.333,0.5264,0.2667,0.5358,0.7311,0.5311,17.3,0.5638,17.9,2.8,1.4,1.4,3.5,8.9,0.149,3
2005-06,krstine01,Nenad Krstić,PF,22,NJN,80,80,30.863,13.5,6.412,1.1,0.4,0.787,1.663,0.5074,0.25,0.5086,0.6981,0.5079,14.4,0.5413,21.6,-2.2,-1.9,-0.4,-0.1,5.4,0.105,
2005-06,kiddja01,Jason Kidd,PG,32,NJN,80,80,37.188,13.312,7.25,8.4,1.875,0.362,2.4,0.4044,0.3519,0.4451,0.7951,0.4812,19.2,0.526,19.1,5.4,2.8,2.6,5.5,10.1,0.163,
2005-06,nocioan01,Andrés Nocioni,PF,26,CHI,82,43,27.305,12.963,6.098,1.427,0.488,0.634,1.463,0.4609,0.3908,0.489,0.843,0.5168,16.1,0.5669,21.3,1.7,0.8,0.9,2.1,6.7,0.144,
2005-06,kirilan01,Andrei Kirilenko,SF,24,UTA,69,63,37.739,15.275,8.0,4.333,1.478,3.188,2.942,0.4603,0.3077,0.4894,0.699,0.4849,20.7,0.556,20.5,6.6,3.4,3.1,5.6,7.9,0.146,
