player_id,player_name,split,log_aav_cap_share,deal_year,years,has_prior_stats,prior_games,prior_ppg,prior_mpg,prior_per,prior_bpm,prior_vorp,prior_ws,prior_ws48,prior_usg_pct,prior_ts_pct,prior_ast,prior_trb,prior_blk,prior_stl,prior_tov,career_seasons,career_games,career_ppg,career_mpg,career_vorp,career_ws,recent3_vorp,recent3_ws,age_at_signing,height_inches,weight_lb,years_pro,incumbent,player_option,max_tier_pct,supermax,outstanding_options,team_srs,team_nrtg,team_mov,team_wins,team_made_playoffs,team_champion,team_cap_space_m,team_active_payroll_m,team_dead_cap_m,team_players_active,prior_srs,prior_nrtg,prior_mov,prior_wins,prior_made_playoffs,prior_champion,prior_cap_space_m,prior_active_payroll_m,prior_dead_cap_m,prior_players_active,prior_team_big_market,prior_team_metro_pop_m,team_big_market,team_metro_pop_m,team_dma_rank,mid_season,signed_via_extension,signed_via_free_agency,signed_via_offer_sheet,signed_via_sign_and_trade,fa_status_RFA,fa_status_UFA,fa_status_na,cba_regime_cba_2017,cba_regime_cba_2023,cba_regime_pre_2017,pos_C,pos_PF,pos_PG,pos_SF,pos_SG,pos_na,team_market_size_ord,prior_team_market_size_ord,undrafted
anderal01,Alan Anderson,train,-3.881802,2014,2,1,78.0,7.231,22.731,9.5,-2.8,-0.4,1.7,0.046,15.9,0.5252,1.038,2.244,0.141,0.615,0.795,5,213.0,8.1,21.36,-0.8,4.1,-0.4,3.6,32,78,220,9,1.0,1,0.3,0,0,0.28,0.3,0.28,42.0,1.0,0.0,-12.901,92.25,0.0,15.0,0.34,0.5,0.43,42.0,1.0,0.0,-12.901,92.929,0.0,15.0,1.0,19.113,1,19.113,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,2.0,1
anderch01,Chris Andersen,train,-2.497914,2014,2,1,72.0,6.625,19.389,18.5,1.2,1.1,6.0,0.206,13.8,0.6827,0.264,5.264,1.347,0.444,0.736,8,375.0,5.78,18.66,6.0,26.4,1.9,10.6,36,82,245,13,1.0,0,0.35,0,0,0.28,0.3,0.28,42.0,1.0,0.0,-12.901,92.25,0.0,15.0,0.34,0.5,0.43,42.0,1.0,0.0,-12.901,92.929,0.0,15.0,0.0,6.266,0,6.266,18.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1.0,1
anderju01,Justin Anderson,train,-3.856453,2015,2,0,66.0,9.478,24.912,14.9,-0.1,0.7,3.2,0.104,19.0,0.559,1.722,3.879,0.354,0.721,1.148,0,0.0,9.05,23.27,0.0,0.0,0.0,0.0,22,78,230,0,1.0,0,0.25,0,2,3.36,3.1,2.9,50.0,1.0,0.0,-11.95,72.184,2.831,16.0,3.36,3.1,2.9,50.0,1.0,0.0,-11.95,72.184,2.831,16.0,1.0,7.943,1,7.943,4.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,2.0,0
anderju01,Justin Anderson,train,-3.996987,2020,2,1,10.0,2.8,10.7,3.2,-7.7,-0.2,-0.1,-0.045,17.1,0.3521,0.8,2.1,0.6,0.0,0.4,5,226.0,5.23,13.12,0.4,4.5,-0.2,1.5,27,78,230,5,0.0,0,0.25,0,0,2.25,2.3,2.38,43.0,1.0,0.0,-20.963,126.784,3.319,15.0,-1.01,-0.6,-0.57,35.0,1.0,0.0,-19.125,94.821,7.854,16.0,1.0,19.113,1,6.228,5.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,2.0,0
anderky01,Kyle Anderson,train,-4.030837,2014,2,0,66.0,9.478,24.912,14.9,-0.1,0.7,3.2,0.104,19.0,0.559,1.722,3.879,0.354,0.721,1.148,0,0.0,9.05,23.27,0.0,0.0,0.0,0.0,21,80,230,0,1.0,0,0.25,0,2,0.28,0.3,0.28,42.0,1.0,0.0,-12.901,92.25,0.0,15.0,0.34,0.5,0.43,42.0,1.0,0.0,-12.901,92.929,0.0,15.0,0.0,2.602,0,2.602,31.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0
anderky01,Kyle Anderson,train,-2.393673,2018,4,1,74.0,7.905,26.73,15.9,2.9,2.4,6.2,0.15,13.5,0.5824,2.73,5.351,0.811,1.554,1.27,4,257.0,4.88,17.9,4.6,12.7,4.5,12.4,25,80,230,4,0.0,0,0.25,0,0,-5.81,-6.5,-6.21,22.0,0.0,0.0,-13.63,100.034,9.869,15.0,2.89,3.1,2.89,47.0,1.0,0.0,-18.532,113.237,2.916,15.0,0.0,2.602,0,1.358,51.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0
anderky01,Kyle Anderson,val,-2.620271,2022,2,1,69.0,7.551,21.507,14.4,1.2,1.2,3.5,0.113,16.2,0.5056,2.652,5.333,0.652,1.116,1.029,8,505.0,6.67,20.96,10.1,27.0,4.6,11.6,29,80,230,8,0.0,0,0.3,0,0,2.53,2.6,2.63,46.0,1.0,0.0,-53.32,136.155,0.0,15.0,5.37,5.6,5.68,56.0,1.0,0.0,-3.58,98.319,17.675,15.0,0.0,1.358,0,3.703,16.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.0,0
anderky01,Kyle Anderson,test,-2.724459,2024,3,1,79.0,6.405,22.557,12.7,1.1,1.4,4.5,0.121,14.5,0.5129,4.19,3.456,0.595,0.899,1.152,10,653.0,6.92,21.93,13.7,36.6,4.8,13.1,31,80,230,10,1.0,0,0.35,0,0,6.39,6.6,6.45,56.0,1.0,0.0,-62.477,164.181,0.348,15.0,6.39,6.6,6.45,56.0,1.0,0.0,-62.477,164.181,0.348,15.0,0.0,3.703,0,3.703,16.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1.0,0
anderry01,Ryan Anderson,train,-1.549083,2016,4,1,66.0,17.03,30.424,17.2,-0.2,0.9,3.9,0.093,24.7,0.546,1.106,6.0,0.379,0.576,1.364,8,484.0,13.09,26.02,11.4,37.1,2.2,9.7,28,81,240,8,0.0,0,0.3,0,0,0.34,0.2,0.2,41.0,1.0,0.0,-18.387,75.205,13.182,15.0,-3.56,-3.9,-3.79,30.0,0.0,0.0,-11.426,80.165,1.261,18.0,0.0,1.29,1,7.206,6.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0.0,0
antetgi01,Giannis Antetokounmpo,train,-1.377183,2016,4,1,80.0,16.875,35.288,18.8,2.1,2.9,7.1,0.121,22.3,0.5658,4.312,7.65,1.413,1.175,2.6,3,238.0,12.21,30.51,3.9,14.5,3.9,14.5,22,83,243,3,1.0,0,0.25,0,0,-3.98,-4.4,-4.18,33.0,0.0,0.0,-0.58,68.656,1.923,15.0,-3.98,-4.4,-4.18,33.0,0.0,0.0,-0.58,68.656,1.923,15.0,0.0,1.586,0,1.586,38.0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0
