player_id,player_name,spotrac_id,deal_date,deal_year,team,total_value_m,deal_type,verified,fa_status,max_tier_pct,max_tier_aav_pct,aav_over_tier,signed_max,supermax,signed_via,prior_team,incumbent,player_option,team_option,outstanding_options,contract_start_year,salary_cap_m,aav_m,aav_cap_share,log_aav_cap_share,end_year,completed,years_remaining,market,year1_salary,signing_season_salary_m,team_dma_rank,team_tv_homes_m,team_metro_pop_m,team_market_size,team_big_market,prior_team_dma_rank,prior_team_tv_homes_m,prior_team_metro_pop_m,prior_team_market_size,prior_team_big_market
anderju01,Justin Anderson,17849,"Nov 27, 2020",2020,PHI,4.01,standard,1,UFA,0.25,0.26,0,0,0,free_agency,BKN,0,0,,0,2020,109.14,2.005,0.018371,-3.996987,2021,1,0,1,,0.125,5,3.14592,6.228,Large,1,1,7.49451,19.113,Large,1
anderky01,Kyle Anderson,15382,"Jul 12, 2014",2014,SAS,2.24,standard,1,,0.25,0.26,0,0,0,free_agency,SAS,1,0,,2,2014,63.065,1.12,0.017759,-4.030837,2015,1,0,1,,,31,1.0964,2.602,Small,0,31,1.0964,2.602,Small,0
anderky01,Kyle Anderson,15382,"Jul 08, 2018",2018,MEM,37.2,standard,1,RFA,0.25,0.28,0,0,0,offer_sheet,SAS,0,0,,0,2018,101.869,9.3,0.091294,-2.393673,2021,1,0,1,,8.641,51,0.6663,1.358,Small,0,31,1.0964,2.602,Small,0
anderky01,Kyle Anderson,15382,"Jul 07, 2022",2022,MIN,18.0,standard,1,UFA,0.3,0.312,0,0,0,free_agency,MEM,0,0,,0,2022,123.655,9.0,0.072783,-2.620271,2023,1,0,1,,8.780488,16,1.88668,3.703,Medium,0,51,0.6663,1.358,Small,0
anderky01,Kyle Anderson,15382,"Jul 06, 2024",2024,MIN,27.66,standard,1,UFA,0.35,0.378,0,0,0,sign_and_trade,MIN,1,0,,0,2024,140.588,9.22,0.065582,-2.724459,2026,0,1,1,,8.780488,16,1.88668,3.703,Medium,0,16,1.88668,3.703,Medium,0
anderky01,Kyle Anderson,15382,"Jul 06, 2026",2026,TOR,3.88,standard,1,UFA,0.35,0.35,0,0,0,free_agency,MIN,0,0,,0,2026,170.1117,3.88,0.022809,-3.78062,2026,0,1,0,,,,,6.202,Large,1,16,1.88668,3.703,Medium,0
anderry01,Ryan Anderson,6133,"Jul 11, 2012",2012,ORL,34.0,standard,1,RFA,0.25,0.28,0,0,0,sign_and_trade,,,0,,0,2012,,8.5,,,2015,1,0,1,,,15,1.90242,2.673,Medium,0,,,,,
anderry01,Ryan Anderson,6133,"Jul 09, 2016",2016,HOU,80.0,standard,1,UFA,0.3,0.336,0,0,0,free_agency,NOP,0,0,,0,2016,94.143,20.0,0.212443,-1.549083,2019,1,0,1,,18.735364,6,2.79742,7.206,Large,1,50,0.67279,1.29,Small,0
anderry01,Ryan Anderson,6133,"Sep 26, 2019",2019,HOU,2.56,standard,1,UFA,0.35,0.35,0,0,0,free_agency,MIA,0,0,,0,2019,109.14,2.56,0.023456,-3.752624,2019,1,0,0,,0.5,6,2.79742,7.206,Large,1,18,1.75692,6.266,Medium,0
antetgi01,Giannis Antetokounmpo,13328,"Jul 30, 2013",2013,MIL,8.62,standard,1,,0.25,0.28,0,0,0,free_agency,MIL,1,0,,2,2013,,2.155,,,2016,1,0,1,,,38,0.9449,1.586,Small,0,38,0.9449,1.586,Small,0
