player_id,player_name,spotrac_id,matched_name,position,confidence
garzalu01,Luka Garza,74159,Luka Garza,Center,high
gasolma01,Marc Gasol,6122,Marc Gasol,Center,high
gasolpa01,Pau Gasol,2518,Pau Gasol,Center,high
gayru01,Rudy Gay,2534,Rudy Gay,Power Forward,high
geeal01,Alonzo Gee,6486,Alonzo Gee,Small Forward,high
georgke01,Keyonte George,82209,Keyonte George,Shooting Guard,high
georgky01,Kyshawn George,91765,Kyshawn George,Shooting Guard,high
georgpa01,Paul George,6892,Paul George,Shooting Guard,high
gibsota01,Taj Gibson,6278,Taj Gibson,Center,high
giddejo01,Josh Giddey,74113,Josh Giddey,Shooting Guard,high
gilesha01,Harry Giles,23615,Harry Giles,Center,high
gilgesh01,Shai Gilgeous-Alexander,26977,Shai Gilgeous-Alexander,Point Guard,high
gillan01,Anthony Gill,70741,Anthony Gill,Power Forward,high
gilleco01,Collin Gillespie,78276,Collin Gillespie,Point Guard,high
gillefr01,Freddie Gillespie,70712,Freddie Gillespie,Power Forward,high
gilyaja01,Jacob Gilyard,79973,Jacob Gilyard,Point Guard,high
ginobma01,Manu Ginóbili,2705,Manu Ginobili,Shooting Guard,high
goberru01,Rudy Gobert,13340,Rudy Gobert,Center,high
gonzahu01,Hugo González,98623,Hugo Gonzalez,Small Forward,high
goodwar01,Archie Goodwin,13342,Archie Goodwin,Shooting Guard,high
goodwbr01,Brandon Goodwin,28020,Brandon Goodwin,Point Guard,high
goodwjo01,Jordan Goodwin,74333,Jordan Goodwin,Point Guard,high
gordoaa01,Aaron Gordon,15356,Aaron Gordon,Power Forward,high
gordoer01,Eric Gordon,6116,Eric Gordon,Shooting Guard,high
gortama01,Marcin Gortat,2639,Marcin Gortat,Center,high
grahade01,Devonte' Graham,27000,Devonte' Graham,Point Guard,high
grahatr01,Treveon Graham,18124,Treveon Graham,Small Forward,high
grantje01,Jerami Grant,15391,Jerami Grant,Power Forward,high
grantje02,Jerian Grant,17847,Jerian Grant,Point Guard,high
greenaj01,A.J. Green,78250,AJ Green,Shooting Guard,high
greenda02,Danny Green,6277,Danny Green,Small Forward,high
greendr01,Draymond Green,10860,Draymond Green,Power Forward,high
greenge01,Gerald Green,6100,Gerald Green,Shooting Guard,high
greenja01,JaMychal Green,11666,JaMychal Green,Power Forward,high
greenja02,Javonte Green,32409,Javonte Green,Shooting Guard,high
greenja05,Jalen Green,74109,Jalen Green,Shooting Guard,high
greenje02,Jeff Green,2720,Jeff Green,Power Forward,high
greenjo02,Josh Green,70660,Josh Green,Shooting Guard,high
griffaj01,AJ Griffin,78119,A.J. Griffin,Small Forward,high
griffbl01,Blake Griffin,6501,Blake Griffin,Center,high
grimequ01,Quentin Grimes,74132,Quentin Grimes,Shooting Guard,high
gueyemo02,Mouhamed Gueye,84468,Mouhamed Gueye,Power Forward,high
hachiru01,Rui Hachimura,31566,Rui Hachimura,Power Forward,high
hairspj02,P.J. Hairston,15378,P.J. Hairston,Shooting Guard,high
halibty01,Tyrese Haliburton,70654,Tyrese Haliburton,Point Guard,high
hamilju01,Justin Hamilton,10870,Justin Hamilton,Center,high
hamptrj01,R.J. Hampton,70666,RJ Hampton,Point Guard,high
